,0,1,2,3,4
106,akebono-brake-industry,Akebono Brake Industry, ,"$122,948",12
107,aker,Aker, ,"$141,235",2
108,akorn-inc,Akorn Inc., ,"$20,500",1
109,akrion-systems,Akrion Systems, ,"$900,000",1
110,aksat-denizcilik-ve-ticaret-as,Aksat Denizcilik Ve Ticaret A.S., ,"$725,000",1
111,akzo-nobel,Akzo Nobel, ,"$51,809,840",4
112,alamo-group,Alamo Group,ALG),"$114,740",9
113,alaska-air,Alaska Air,ALK),"$89,334,504",1
114,alaska-railroad-corporation,Alaska Railroad Corporation, ,"$534,607",32
115,albany-international,Albany International,AIN),"$40,108",3
116,albemarle,Albemarle,ALB),"$850,511",22
117,alberici,Alberici, ,"$53,700",4
118,albertsons-companies,Albertsons Companies,ACI),"$185,800,369",60
119,alcami,Alcami, ,"$64,482",4
120,alcoa,Alcoa,AA),"$729,329,762",2
121,alcon-inc,Alcon Inc.,ALC),"$16,963,373",1
122,alden-management-services,Alden Management Services, ,"$191,664",8
123,aldi,Aldi, ,"$16,207,790",7
124,alexander-and-baldwin,Alexander & Baldwin,ALEX),"$26,503",3
125,alfa-laval,Alfa Laval, ,"$1,263,981",17
126,alfa-sab,Alfa S.A.B., ,"$219,715",9
127,alger-associates,Alger Associates, ,"$45,060,002",2
128,algonquin-power-and-utilities,Algonquin Power & Utilities, ,"$3,504,673",1
129,alion-science-and-technology,Alion Science & Technology, ,"$35,000",1
130,alive-hospice-inc,Alive Hospice Inc., ,"$1,500,000",1
131,all-nippon-airways-ana,All Nippon Airways (ANA), ,"$73,311,000",1
132,all-feed-processing-and-packaging,All-Feed Processing and Packaging, ,"$1,161,513",11
133,alle-processing,Alle Processing, ,"$5,205,000",1
134,allegheny-health-network,Allegheny Health Network, ,"$3,777,463",2
135,allegheny-technologies,Allegheny Technologies,ATI),"$15,969,605",29
136,allegiant-air,Allegiant Air,ALGT),"$2,691,501",13
137,allegion,Allegion,ALLE),"$159,167",5
138,allegis-group,Allegis Group, ,"$20,031,791",29
139,allete,Allete,ALE),"$5,637,003",2
140,alliance-data-systems,Alliance Data Systems,ADS),"$63,990,320",1
141,alliance-resource-partners,Alliance Resource Partners,ARLP),"$8,895,559",698
142,alliant-energy,Alliant Energy,LNT),"$1,027,637,421",7
143,allianz,Allianz, ,"$182,895,308",6
144,allied-interstate-inc,Allied Interstate Inc., ,"$11,401,422",7
145,allied-motion-technologies,Allied Motion Technologies,AMOT),"$92,599",2
146,allied-universal-corp,Allied Universal Corp., ,"$121,136",3
147,allied-universal-security-services,Allied Universal Security Services, ,"$176,688,012",92
148,allina-health-system,Allina Health System, ,"$19,401,014",3
149,allison-transmission,Allison Transmission,ALSN),"$17,000",2
150,allscripts-healthcare-solutions,Allscripts Healthcare Solutions,MDRX),"$145,000,000",2
151,allstate,Allstate,ALL),"$291,755,162",97
152,ally-financial,Ally Financial,ALLY),"$678,982,878",10
153,almatis,Almatis, ,"$62,163",8
154,alorica,Alorica, ,"$16,912,621",9
155,alpha-metallurgical-resources,Alpha Metallurgical Resources,AMR),"$564,142,301","3,797"
156,alphabet-inc,Alphabet Inc.,Nasdaq: GOOG),"$875,134,618",1
157,alsco,Alsco, ,"$1,474,544",4
158,alstom,Alstom, ,"$772,518,998",1
159,altaba,Altaba, ,"$35,000,000",1
160,altagas,AltaGas, ,"$5,372,450",1
161,altana,Altana, ,"$164,845",2
162,altaris-capital-partners,Altaris Capital Partners, ,"$14,889,600",2
163,alterra-mountain-company,Alterra Mountain Company, ,"$85,494",1
164,altice,Altice, ,"$78,809,169",2
165,alticor,Alticor, ,"$185,031",4
166,altisource-portfolio-solutions,Altisource Portfolio Solutions,ASPS),"$68,433",1
167,altra-industrial-motion,Altra Industrial Motion,AIMC),"$23,212",3
168,altria,Altria,MO),"$6,793,070",6
169,altru-health-system,Altru Health System, ,"$2,034,801",1
170,amazoncom,Amazon.com,Nasdaq: AMZN),"$115,289,223",13
171,ambac-financial,Ambac Financial,AMBC),"$104,450,000",1
172,amcor,Amcor,AMCR),"$1,231,305",16
173,amd-industries,AMD Industries, ,"$706,705",1
174,amedisys,Amedisys,AMED),"$163,602,146",1
175,amentum-government-services-holdings-llc,Amentum Government Services Holdings LLC, ,"$11,204,594",3
176,amer-sports,Amer Sports, ,"$245,150",1
177,amerco,AMERCO,UHAL),"$13,355,021",8
178,ameren,Ameren,AEE),"$223,734,205",7
179,ameresco,Ameresco,AMRC),"$129,000",3
180,america-west-resources,America West Resources, ,"$2,175,724",96
181,american-airlines,American Airlines,AAL),"$202,706,216",757
182,american-automobile-association,American Automobile Association, ,"$19,535,000",1
183,american-axle-and-manufacturing,American Axle & Manufacturing,AXL),"$4,744,941",2
184,american-biltrite,American Biltrite, ,"$450,860",6
185,american-campus-communities-inc,American Campus Communities Inc.,ACC),"$18,720",1
186,american-cast-iron-pipe-co,American Cast Iron Pipe Co., ,"$5,084,150",1
187,american-consolidated-natural-resources-,American Consolidated Natural Resources Inc., ,"$484,241",49
188,american-crystal-sugar,American Crystal Sugar, ,"$804,320",16
189,american-eagle-outfitters,American Eagle Outfitters,AEO),"$15,037,617",1
190,american-electric-power,American Electric Power,AEP),"$4,800,086,598",24
191,american-express,American Express,AXP),"$359,874,209",15
192,american-family-insurance,American Family Insurance, ,"$5,077,982",67
193,american-financial-group,American Financial Group,AFG),"$2,263,673",2
194,american-greetings,American Greetings, ,"$5,895,235",2
195,american-industrial-partners,American Industrial Partners, ,"$1,314,539",17
196,american-international-group,American International Group,NYSE: AIG),"$3,219,221,997",16
197,american-municipal-power,American Municipal Power, ,"$15,850,000",1
198,american-national-insurance,American National Insurance,ANAT),"$7,473,700",17
199,american-outdoor-brands,American Outdoor Brands,AOUT),"$3,896,485",2
200,american-resources-corporation,American Resources Corporation,AREC),"$910,564",60
201,american-seafoods,American Seafoods, ,"$100,885",11
202,american-securities-llc,American Securities LLC, ,"$18,100,704",35
203,american-tower-corp,American Tower Corp.,AMT),"$546,710",1
204,american-vanguard,American Vanguard,AVD),"$277,175",5
205,american-water-works,American Water Works,AWK),"$126,842,588",16
206,american-woodmark,American Woodmark,AMWD),"$279,913",6
207,american-zinc-recycling,American Zinc Recycling, ,"$20,359,723",29
208,american-amicable-group,American-Amicable Group, ,"$60,000,000",1
209,americas-gold-and-silver,Americas Gold and Silver,USAS),"$522,566",25
210,americas-styrenics,Americas Styrenics, ,"$295,922",4
211,americold-logistics,AmeriCold Logistics, ,"$1,724,903",50
212,americus-mortgage,Americus Mortgage, ,"$298,619,121",1
213,amerijet-international-inc,Amerijet International Inc., ,"$391,134",10
214,ameriprise-financial,Ameriprise Financial,AMP),"$338,451,272",44
215,amerisave-mortgage,AmeriSave Mortgage, ,"$27,998,000",7
216,amerisourcebergen,AmerisourceBergen,ABC),"$7,425,502,274",3
217,ameritas-mutual-holding-company,Ameritas Mutual Holding Company, ,"$11,616,864",10
218,ames-construction,Ames Construction, ,"$930,940",44
219,ametek,Ametek,AME),"$895,708",17
220,amfine-chemical,Amfine Chemical, ,"$7,200",1
221,amgen,Amgen,AMGN),"$912,614,069",3
222,amica-mutual-insurance,Amica Mutual Insurance, ,"$1,040,884",8
223,amn-healthcare-services,AMN Healthcare Services,AMN),"$23,245,222",6
224,amneal-pharmaceuticals,Amneal Pharmaceuticals,AMRX),"$279,188",1
225,ampco-metal,AMPCO Metal, ,"$28,100",3
226,ampco-pittsburgh,Ampco-Pittsburgh,AP),"$71,978",7
227,amphastar-pharmaceuticals,Amphastar Pharmaceuticals,AMPH),"$368,500",1
228,amphenol,Amphenol,APH),"$8,497,060",1
229,amryt-pharma,Amryt Pharma, ,"$39,100,000",1
230,amsted-industries,Amsted Industries, ,"$5,629,306",6
231,amtec,Amtec, ,"$74,000",2
232,amtrust-financial-services,AmTrust Financial Services,AFSI),"$10,467,775",1
233,amyris,Amyris,AMRS),"$300,000",1
234,analog-devices-inc,Analog Devices Inc.,ADI),"$3,435,924",1
235,andersen-corporation,Andersen Corporation, ,"$278,350",3
236,andersons-inc,Andersons Inc.,ANDE),"$953,137",23
237,andritz,Andritz, ,"$297,480",13
238,angelica-corp,Angelica Corp., ,"$3,446,173",8
239,angelle-concrete,Angelle Concrete, ,"$262,783",1
240,angi-homeservices,ANGI Homeservices,ANGI),"$465,000",1
241,angiodynamics,AngioDynamics,ANGO),"$12,500,000",1
242,anglo-american-plc,Anglo American PLC,LSE: AAL),"$10,000,000",1
243,anglogold-ashanti,Anglogold Ashanti,AU),"$124,785",13
244,anheuser-busch-inbev,Anheuser-Busch InBev,BUD),"$13,082,727",1
245,anika-therapeutics,Anika Therapeutics,ANIK),"$21,300",1
246,anmed-health,AnMed Health, ,"$8,314,000",1
247,anschutz-company,Anschutz Company, ,"$213,443",13
248,ansys,ANSYS,ANSS),"$16,500",1
249,antarchile,AntarChile, ,"$5,130,414",1
250,antero-resources,Antero Resources,AR),"$12,032,250",11
251,anthem,Anthem,ANTM),"$603,124,432",399
252,aon,Aon,NYSE: AON),"$228,991,660",3
253,apa-corporation,APA Corporation,APA),"$3,715,640",43
254,apax-partners,Apax Partners, ,"$811,291",7
255,apex-oil,Apex Oil, ,"$10,929,159",9
256,apogee-enterprises,Apogee Enterprises,APOG),"$173,409",13
257,apollo-education-group,Apollo Education Group, ,"$272,709,121",1
258,apollo-global-management,Apollo Global Management,APO),"$526,263,087",5
259,apotex-corp,Apotex Corp., ,"$77,100,000",2
260,apple-inc,Apple Inc.,Nasdaq: AAPL),"$702,494,870",1
261,applied-food-sciences-inc,Applied Food Sciences Inc., ,"$3,500,000",1
262,applied-industrial-technologies,Applied Industrial Technologies,AIT),"$20,050",3
263,appvion,Appvion, ,"$1,319,329",5
