,0,1,2,3,4
848,cooper-health,Cooper Health, ,"$17,599,000",3
849,cooper-standard-holdings,Cooper-Standard Holdings,CPS),"$794,330",2
850,cooperative-plus-inc,Cooperative Plus Inc., ,"$553,250",4
851,cooperative-success-maritime-sa,Cooperative Success Maritime S.A., ,"$850,000",1
852,copart-inc,Copart Inc.,CPRT),"$170,275",5
853,corbion-nv,Corbion N.V., ,"$13,300",2
854,core-molding-technologies,Core Molding Technologies,CMT),"$175,402",9
855,corecivic,CoreCivic,CXW),"$23,186,311",22
856,corelle-brands,Corelle Brands, ,"$133,550",3
857,corelogic,CoreLogic, ,"$32,441,428",2
858,corinthian-colleges-inc,"Corinthian Colleges, Inc.", ,"$1,737,755,601",4
859,cornell-university,Cornell University, ,"$193,591",1
860,cornerstone-building-brands,Cornerstone Building Brands,CNR),"$320,489",21
861,corning-inc,Corning Inc.,GLW),"$74,530,705",2
862,corporate-office-properties-trust,Corporate Office Properties Trust,OFC),"$32,192",1
863,corporate-risk-holdings,Corporate Risk Holdings, ,"$63,868,407",3
864,corsa-coal,Corsa Coal, ,"$6,878,485",8
865,corteva,Corteva,CTVA),"$50,330,128",24
866,corvel-corporation,CorVel Corporation,CRVL),"$36,602",2
867,costco,Costco,COST),"$76,674,596",14
868,couche-tard,Couche-Tard, ,"$6,208,931",1
869,countrymark,CountryMark, ,"$18,572,025",13
870,cousins-properties,Cousins Properties,CUZ),"$14,500",1
871,covenant-hospice-inc,"Covenant Hospice, Inc.", ,"$10,149,374",2
872,covenant-logistics-group,Covenant Logistics Group,CVLG),"$630,997",4
873,coverall,Coverall, ,"$5,512,349",3
874,covia-holdings,Covia Holdings,CVIAQ),"$600,195",7
875,cowen-inc,Cowen Inc.,COWN),"$159,899,429",4
876,cox-enterprises,Cox Enterprises, ,"$9,177,029",1
877,cox-oil,Cox Oil, ,"$1,778,998",20
878,coxhealth,CoxHealth, ,"$60,048,912",1
879,cracker-barrel-old-country-store,Cracker Barrel Old Country Store,CBRL),"$2,323,039",4
880,craft-brew-alliance-inc,Craft Brew Alliance Inc.,BREW),"$55,501",2
881,crane-co,Crane Co.,NYSE: CR),"$6,501,552",1
882,crane-hogan-structural-systems,Crane-Hogan Structural Systems, ,"$500,000",1
883,crawford-and-co,Crawford & Co.,CRD.B),"$9,441,704",1
884,credit-acceptance-corp,Credit Acceptance Corp.,CACC),"$27,355,000",3
885,credit-agricole,Credit Agricole, ,"$1,329,220,085",11
886,credit-suisse,Credit Suisse,CS),"$10,732,400,126",42
887,cree-inc,Cree Inc.,CREE),"$17,290",1
888,cremer,Cremer, ,"$111,000",1
889,crescent-point-energy,Crescent Point Energy,CPG),"$116,610",6
890,crestwood-holdings,Crestwood Holdings,CEQP),"$1,357,573",1
891,crh-plc,CRH PLC,CRH),"$38,828,497",93
892,crocs-inc,Crocs Inc.,CROX),"$230,000",1
893,cross-country-healthcare,Cross Country Healthcare,CCRN),"$7,990,419",4
894,crowley-maritime,Crowley Maritime, ,"$17,327,555",1
895,crown-central,Crown Central, ,"$1,447,552",12
896,crown-equipment,Crown Equipment, ,"$157,048",1
897,crown-holdings-inc,Crown Holdings Inc.,CCK),"$8,398,234",4
898,crowne-group-llc,Crowne Group LLC, ,"$103,160",2
899,crst-international,CRST International, ,"$29,093,710",7
900,csav,CSAV, ,"$9,575,000",3
901,csg-systems-international,CSG Systems International,CSGS),"$60,458",2
902,csl-limited,CSL Limited, ,"$605,346",2
903,csx,CSX,CSX),"$251,182,303",33
904,cts-corp,CTS Corp.,CTS),"$1,000,000",1
905,cubic,Cubic,CUB),"$466,959",5
906,cullman-regional-medical-center,Cullman Regional Medical Center, ,"$350,000",1
907,culp-inc,Culp Inc.,CULP),"$6,400",1
908,cumberland-farms,Cumberland Farms, ,"$2,614,980",19
909,cummins,Cummins,NYSE: CMI),"$35,264,222",20
910,cumulus-media,Cumulus Media,CMLS),"$4,165,978",6
911,cuna-mutual,CUNA Mutual, ,"$1,321,122",11
912,curia-inc,Curia Inc., ,"$66,250",2
913,currax-pharmaceuticals,Currax Pharmaceuticals, ,"$3,610,001",1
914,curtiss-wright,Curtiss-Wright,CW),"$5,621,584",2
915,customers-bancorp,Customers Bancorp,CUBI),"$960,000",1
916,cutrale,Cutrale, ,"$25,862,636",1
917,cvb-financial,CVB Financial,CVBF),"$16,200",1
918,cvc-capital-partners,CVC Capital Partners, ,"$28,207,813",9
919,cvs-health,CVS Health,CVS),"$1,182,181,435",31
920,cyrusone,CyrusOne,CONE),"$24,185",1
921,cytrx,CytRx,CYTR),"$75,000",1
922,d-and-c-mining,D&C Mining, ,"$2,538,398",139
923,d-g-yuengling-and-son,D. G. Yuengling and Son, ,"$10,061,636",5
924,dr-horton,D.R. Horton,DHI),"$1,345,988",40
925,dsc-of-newark-enterprises,D.S.C. of Newark Enterprises, ,"$1,625,000",2
926,dai-nippon-printing,Dai Nippon Printing, ,"$66,136",1
927,dai-ichi-life,Dai-ichi Life, ,"$4,467,201",7
928,daicel,Daicel, ,"$53,232,750",1
929,daiichi-sankyo,Daiichi Sankyo, ,"$392,097,967",1
930,daikin,Daikin, ,"$2,397,220",40
931,daimler-truck-ag,Daimler Truck AG, ,"$538,035,874",14
932,dairiconcepts,Dairiconcepts, ,"$84,736",3
933,dairy-farmers-of-america-dfa,Dairy Farmers of America (DFA), ,"$21,618,721",2
934,dairyland-power-cooperative,Dairyland Power Cooperative, ,"$156,048,600",3
935,daiso-industries,Daiso Industries, ,"$2,444,475",3
936,daktronics,Daktronics,DAKT),"$20,589",3
937,dallasnews-corporation,DallasNews Corporation,DALN),"$2,500,000",1
938,dana-inc,Dana Inc.,DAN),"$928,485",11
939,dana-transport-inc,Dana Transport Inc., ,"$2,642,206",30
940,danaher,Danaher,DHR),"$1,720,827",3
941,danfoss,Danfoss, ,"$3,746,634",1
942,daniyal-enterprises,Daniyal Enterprises, ,"$2,011,467",51
943,danone,Danone, ,"$22,461,418",1
944,darden-restaurants,Darden Restaurants,DRI),"$28,598,252",15
945,darling-ingredients,Darling Ingredients,DAR),"$3,793,156",28
946,dart-container,Dart Container, ,"$904,907",8
947,dartmouth-hitchcock-health,Dartmouth-Hitchcock Health, ,"$200,000",1
948,dassault,Dassault, ,"$410,995",6
949,dave-and-busters-entertainment-inc,Dave and Buster's Entertainment Inc.,PLAY),"$3,098,390",3
950,davis-mining-and-manufacturing,Davis Mining & Manufacturing, ,"$1,701,104",79
951,davita-healthcare-partners,DaVita HealthCare Partners,DVA),"$1,165,848,138",5
952,day-and-zimmerman,Day & Zimmerman, ,"$1,018,124",9
953,dcp-midstream-partners,DCP Midstream Partners, ,"$75,455,785",131
954,de-sangosse,De Sangosse, ,"$745,500",3
955,deaconess-health-system-in,Deaconess Health System (IN), ,"$2,186,626",1
956,deborah-heart-and-lung-center,Deborah Heart and Lung Center, ,"$1,000,000",1
957,deceuninck,Deceuninck, ,"$197,000",4
958,deckers-outdoor,Deckers Outdoor,DECK),"$18,600",1
959,deere,Deere,DE),"$2,872,551",16
960,del-monte-pacific,Del Monte Pacific, ,"$447,041",19
961,delano-farms-company,Delano Farms Company, ,"$6,031,975",1
962,delaware-north-companies,Delaware North Companies, ,"$37,464",1
963,delek,Delek,DK),"$32,576,882",59
964,dell-technologies,Dell Technologies,DVMT),"$290,694,276",2
965,deloitte,Deloitte, ,"$260,626,788",2
966,delta-air-lines,Delta Air Lines,DAL),"$309,611,786",24
967,delta-fuels,Delta Fuels, ,"$598,499",1
968,deluxe-corp,Deluxe Corp.,DLX),"$9,600",1
969,demoulas-super-markets,Demoulas Super Markets, ,"$596,008",12
970,denbury-inc,Denbury Inc.,DEN),"$1,876,532",21
971,dennys-corp,Denny's Corp.,DENN),"$4,196,462",13
972,denso,Denso, ,"$78,072,016",1
973,dentsply-sirona,Dentsply Sirona,XRAY),"$2,307,161",2
974,denver-health,Denver Health, ,"$6,371,803",2
975,depository-trust,Depository Trust, ,"$13,000",1
976,deseret-generation-and-transmission-co,Deseret Generation & Transmission Cooperative, ,"$833,372",55
977,designer-brands-inc,Designer Brands Inc.,DBI),"$1,592,990",4
978,deutsche-bahn,Deutsche Bahn, ,"$24,183,541",3
979,deutsche-bank,Deutsche Bank, ,"$18,341,457,302",60
980,deutsche-beteiligungs-ag,Deutsche Beteiligungs AG, ,"$14,726",1
981,deutsche-borse,Deutsche Borse, ,"$152,000,000",1
982,deutsche-post,Deutsche Post, ,"$37,156,467",30
983,deutsche-telekom,Deutsche Telekom, ,"$95,454,327",2
984,devon-energy,Devon Energy,DVN),"$79,396,239",3
985,dexia,Dexia, ,"$50,000",1
986,dexyp,DexYP, ,"$11,241,000",6
987,diageo,Diageo,LSE: DGE),"$22,533,403",2
988,diakon-lutheran-social-ministries,Diakon Lutheran Social Ministries, ,"$10,761,797",1
989,diamond-electric-manufacturing,Diamond Electric Manufacturing, ,"$19,030,403",1
990,diamond-green-diesel,Diamond Green Diesel, ,"$30,000",1
991,diamondback-energy,Diamondback Energy,FANG),"$5,988,632",11
992,dianik-bross-shipping,Dianik Bross Shipping, ,"$650,000",1
993,dic-corporation,DIC Corporation, ,"$1,444,257",18
994,dicks-sporting-goods,Dick's Sporting Goods,DKS),"$33,126,283",7
995,didion-milling,Didion Milling, ,"$2,713,311",4
996,diebold-nixdorf,Diebold Nixdorf,DBD),"$81,126,750",2
997,dietz-and-watson,Dietz & Watson, ,"$56,199",6
998,digital-first-media,Digital First Media, ,"$23,015,836",11
999,dillards,Dillard's,DDS),"$44,759,789",9
1000,dine-brands-global,Dine Brands Global,DIN),"$293,082",12
1001,discount-computers-inc,Discount Computers Inc., ,"$2,051,897",1
1002,discount-tire,Discount Tire, ,"$190,723",1
1003,discover-financial-services,Discover Financial Services,DFS),"$275,048,720",8
1004,discovery-inc,Discovery Inc.,DISCA),"$76,820",1
1005,dish-network,DISH Network,DISH),"$513,335,158",11
1006,ditech-holding-corporation,Ditech Holding Corporation, ,"$101,568,880",2
1007,diversicare-healthcare-services,Diversicare Healthcare Services,DVCR),"$10,817,170",1
1008,dl-chemical,DL Chemical, ,"$365,682",7
1009,dnrb,DNRB, ,"$1,011,000",2
1010,dodge-company,Dodge Company, ,"$524,950",3
1011,dolby-laboratories,Dolby Laboratories,DLB),"$17,383",1
1012,dole-plc,Dole PLC,DOLE),"$1,000,493",5
1013,dollar-general,Dollar General,DG),"$57,596,027",20
1014,dollar-tree,Dollar Tree,DLTR),"$134,319,061",23
1015,dominion-energy,Dominion Energy,D),"$1,428,066,567",73
1016,dominos-pizza-inc,Domino's Pizza Inc.,DPZ),"$14,822,071",10
1017,domtar-corp,Domtar Corp.,UFS),"$2,984,890",16
1018,donaldson-co,Donaldson Co.,DCI),"$1,272,077",6
1019,doncasters,Doncasters, ,"$25,000",2
1020,dongwon-group,Dongwon Group, ,"$108,055,735",1
1021,doordash,DoorDash, ,"$18,149,999",4
1022,doosan,Doosan, ,"$1,096,019",3
1023,doral-financial,Doral Financial, ,"$25,331,710",5
1024,dot-foods,Dot Foods, ,"$26,642",4
1025,doublestar-group,Doublestar Group, ,"$513,606",7
1026,douglas-dynamics-inc,Douglas Dynamics Inc.,PLOW),"$39,191",5
1027,dover-corp,Dover Corp.,DOV),"$2,129,167",4
1028,dow-inc,Dow Inc.,DOW),"$264,537,237",161
1029,dpr-construction,DPR Construction, ,"$44,890",4
1030,dr-reddys-laboratories,Dr. Reddy's Laboratories, ,"$5,000,000",1
1031,dril-quip,Dril-Quip,DRQ),"$549,574",1
1032,drummond,Drummond, ,"$3,041,716",4
1033,ds-smith-plc,DS Smith PLC,LSE: SMDS),"$13,047",1
1034,dte-energy,DTE Energy,DTE),"$20,047,828",24
1035,ducommun,Ducommun,DCO),"$1,000,886",2
1036,duke-energy,Duke Energy,DUK),"$2,856,283,501",76
1037,duke-university,Duke University, ,"$124,520,673",2
1038,dun-and-bradstreet,Dun & Bradstreet, ,"$9,221,484",1
1039,dupont-de-nemours,DuPont de Nemours,DD),"$1,119,576,055",173
1040,dupont-teijin-films,DuPont Teijin Films, ,"$148,453",6
1041,durham-manufacturing,Durham Manufacturing, ,"$4,009,625",2
1042,durst-organization,Durst Organization, ,"$570,000",1
1043,dxc-technology,DXC Technology,NYSE: DXC),"$346,235,755",2
1044,dxp-enterprises,DXP Enterprises,DXPE),"$138,600",1
1045,dycom-industries,Dycom Industries,DY),"$3,513,763",5
1046,e-and-j-gallo-winery,E. & J. Gallo Winery, ,"$878,862",1
1047,ew-scripps,E.W. Scripps,SSP),"$1,264,310",2
1048,eagle-materials,Eagle Materials,EXP),"$4,823,416",10
1049,earth-friendly-products,Earth Friendly Products, ,"$71,300",2
1050,east-kentucky-power-cooperative,East Kentucky Power Cooperative, ,"$693,292,582",14
1051,east-penn-manufacturing,East Penn Manufacturing, ,"$184,330",11
1052,east-west-bancorp,East West Bancorp,EWBC),"$145,353",2
1053,eastman-chemical,Eastman Chemical,EMN),"$81,750,155",104
1054,eastman-kodak,Eastman Kodak,KODK),"$84,775,721",12
1055,eaton,Eaton,ETN),"$1,767,735",33
1056,eb-brands,EB Brands, ,"$650,000",2
1057,ebara,Ebara, ,"$6,518,820",2
1058,ebay,eBay,EBAY),"$3,916,678",1
1059,ebro-foods,Ebro Foods, ,"$123,357",6
1060,ebsco-industries,Ebsco Industries, ,"$5,540",1
1061,eby-brown,Eby-Brown, ,"$383,626",3
1062,echo-global-logistics,Echo Global Logistics,ECHO),"$381,034",3
1063,echostar,EchoStar,SATS),"$13,062,115",1
1064,eclinicalworks,eClinicalWorks, ,"$154,927,605",1
1065,eclipse-aerospace,Eclipse Aerospace, ,"$9,750",1
1066,ecolab,Ecolab,NYSE: ECL),"$123,366,080",15
1067,ecotality,ECOtality, ,"$854,242",2
1068,edf-electricite-de-france,EDF-Electricite de France, ,"$1,046,857",6
1069,edgeboro-international,Edgeboro International, ,"$4,277,814",7
1070,edgewell-personal-care,Edgewell Personal Care,EPC),"$181,665",8
1071,edison-international,Edison International,EIX),"$1,236,832,163",27
1072,edisonlearning-inc,EdisonLearning Inc., ,"$10,001",1
1073,education-management-corporation,Education Management Corporation, ,"$95,500,000",2
1074,edwards-lifesciences,Edwards Lifesciences,EW),"$18,774",1
1075,efploia-shipping,Efploia Shipping, ,"$1,200,000",1
1076,egan-marine,Egan Marine, ,"$5,300,000",1
1077,einstein-healthcare-network,Einstein Healthcare Network, ,"$1,038,393",1
1078,eisai,Eisai, ,"$22,297,143",2
1079,el-al-israel-airline,El Al Israel Airline, ,"$15,750,000",1
1080,el-centro-regional-medical-center,El Centro Regional Medical Center, ,"$2,200,000",1
1081,el-paso-electric,El Paso Electric, ,"$19,747,492",1
1082,elanco-animal-health,Elanco Animal Health,ELAN),"$37,000",2
1083,electrolux,Electrolux, ,"$8,997,009",9
1084,electronic-arts,Electronic Arts,EA),"$31,285,000",3
1085,electronics-for-imaging-inc,Electronics for Imaging Inc., ,"$75,949",1
1086,element-solutions-inc,Element Solutions Inc.,ESI),"$410,068",4
1087,elementis,Elementis, ,"$2,797,432",5
1088,eli-lilly,Eli Lilly,LLY),"$2,831,293,176",9
1089,elite-estate-buyers-inc,Elite Estate Buyers Inc., ,"$1,500,000",1
1090,elk-group-international,Elk Group International, ,"$379,635",3
1091,elliott-management,Elliott Management, ,"$10,980,000",2
1092,emblemhealth,EmblemHealth, ,"$12,542,496",18
1093,embraer,Embraer,NYSE: ERJ),"$205,642,120",2
1094,emco-chemical-distributors,EMCO Chemical Distributors, ,"$614,163",3
1095,emcor,EMCOR,NYSE: EME),"$163,437",12
1096,emcore-corp,Emcore Corp.,EMKR),"$440,001",1
1097,emera,Emera, ,"$20,818,494",20
1098,emerson-electric,Emerson Electric,EMR),"$311,849",12
1099,emmis-communications,Emmis Communications,EMMS),"$326,000",3
1100,emory-healthcare,Emory Healthcare, ,"$4,251,000",2
1101,en-range,En-Range, ,"$265,200",3
1102,enbridge,Enbridge,ENB),"$271,227,110",72
1103,encap-investments,Encap Investments, ,"$609,361",1
1104,encompass-health,Encompass Health,EHC),"$978,176,520",2
1105,encore-capital-group,Encore Capital Group,ECPG),"$82,019,180",9
1106,encore-wire-corp,Encore Wire Corp.,WIRE),"$79,624",4
1107,endo-international,Endo International,ENDP),"$2,222,090,667",5
1108,endurance-international-group,Endurance International Group,EIGI),"$8,029,708",1
1109,enel,Enel, ,"$1,615,603",1
1110,eneos-holdings,ENEOS Holdings, ,"$435,393",4
1111,energizer,Energizer,ENR),"$63,317",4
1112,energy-and-minerals-group,Energy and Minerals Group, ,"$811,377",82
1113,energy-capital-partners,Energy Capital Partners, ,"$15,866,846",5
1114,energy-transfer,Energy Transfer,ET),"$594,873,410",270
1115,enerpac-tool-group,Enerpac Tool Group,EPAC),"$77,009",3
1116,enerplus,Enerplus,ERF),"$194,500",3
1117,enersys,EnerSys,ENS),"$822,158",6
1118,engie,Engie, ,"$83,275,605",1
1119,engineered-floors,Engineered Floors, ,"$33,327,611",1
1120,eni,ENI,E),"$389,961,862",3
1121,enkei,Enkei, ,"$99,150",1
1122,enlink-midstream,EnLink Midstream,ENLC),"$123,552",7
1123,enova-international,Enova International,ENVA),"$3,200,000",1
1124,enpro-industries,EnPro Industries,NPO),"$581,916",1
1125,enron,Enron, ,"$2,092,225,327",4
1126,ensign-energy-services,Ensign Energy Services, ,"$2,029,544",1
1127,ensign-group,Ensign Group,ENSG),"$48,121,071",1
1128,entegris,Entegris,ENTG),"$512,985",1
1129,entergy,Entergy,ETR),"$10,729,572",4
1130,enterprise-holdings,Enterprise Holdings, ,"$14,680,071",9
1131,enterprise-products-partners,Enterprise Products Partners,EPD),"$25,743,218",109
1132,enviro-safe-refrigerants,Enviro-Safe Refrigerants, ,"$325,480",1
1133,enzo-biochem-inc,"Enzo Biochem, Inc.",ENZ),"$3,510,245",1
1134,eog-resources,EOG Resources,EOG),"$1,616,542",17
1135,eor-energy-services,EOR Energy Services, ,"$15,106,276",17
1136,ep-energy,EP Energy, ,"$3,327,089",1
1137,epps-shipping-company,Epps Shipping Company, ,"$700,000",1
1138,eqt-ab,EQT AB, ,"$6,447,935",83
1139,eqt-corp,EQT Corp.,EQT),"$12,995,288",58
1140,equifax,Equifax,NYSE: EFX),"$1,147,541,883",13
1141,equinor,Equinor,EQNR),"$27,429,650",2
1142,equitable-holdings,Equitable Holdings,EQH),"$651,631,465",20
1143,equity-lifestyle-properties-inc,Equity Lifestyle Properties Inc.,ELS),"$177,787",5
1144,equity-residential,Equity Residential,EQR),"$401,941",1
1145,eramet-group,Eramet Group, ,"$16,645,234",14
1146,ergon,Ergon, ,"$1,037,712",13
1147,ericsson,Ericsson, ,"$1,062,141,083",3
1148,erie-coke,Erie Coke, ,"$13,034,384",8
1149,erie-county-medical-center,Erie County Medical Center, ,"$646,013",1
1150,erie-indemnity,Erie Indemnity,ERIE),"$2,144,574",9
1151,ernst-and-young,Ernst & Young, ,"$353,791,137",15
1152,erp-compliant-fuels,ERP Compliant Fuels, ,"$5,866,403",400
1153,escalade-inc,Escalade Inc.,ESCA),"$41,484",2
1154,esco-technologies,ESCO Technologies,ESE),"$105,905",8
1155,essar-group,Essar Group, ,"$2,255,076",48
1156,essential-utilities-inc,Essential Utilities Inc.,WTRG),"$1,663,730",61
1157,essex-property-trust,Essex Property Trust,ESS),"$25,975",1
1158,essilorluxottica,EssilorLuxottica, ,"$558,034",11
1159,essity,Essity, ,"$314,891",3
1160,estee-lauder,Estee Lauder,EL),"$5,803,750",4
1161,estes-express-lines,Estes Express Lines, ,"$695,765",4
1162,ethan-allen-interiors,Ethan Allen Interiors,ETH),"$200,966",10
1163,etmc-regional-healthcare-system,ETMC Regional Healthcare System, ,"$20,000",1
1164,eurofins-scientific,Eurofins Scientific, ,"$27,588,124",2
1165,everest-re-group,Everest Re Group,RE),"$52,000",4
1166,evergy-inc,Evergy Inc.,EVRG),"$531,087,168",5
1167,eversource-energy,EverSource Energy,ES),"$361,702,283",42
1168,evicore-healthcare,EviCore Healthcare, ,"$54,079,680",2
1169,evonik-industries,Evonik Industries, ,"$19,798,253",3
1170,evraz,Evraz, ,"$102,651,744",2
1171,excellus-bluecross-blueshield,Excellus BlueCross BlueShield, ,"$28,742,471",11
1172,exco-resources,EXCO Resources, ,"$432,955",18
1173,executive-recycling-inc,"Executive Recycling, Inc.", ,"$4,509,600",2
1174,exedy,EXEDY, ,"$182,244",2
1175,exelon,Exelon,EXC),"$278,784,714",4
1176,exide-technologies,Exide Technologies, ,"$91,991,377",59
1177,exlabesa,Exlabesa, ,"$132,226",5
1178,exlservice-holdings,ExlService Holdings,EXLS),"$3,831,198",2
1179,expedia-group,Expedia Group,EXPE),"$49,186,863",5
1180,expeditors-international-of-washington,Expeditors International of Washington,EXPD),"$121,961",7
1181,experian,Experian, ,"$16,404,997",4
1182,express-inc,Express Inc.,EXPR),"$4,455,000",2
1183,expressjet-airlines,ExpressJet Airlines, ,"$1,539,749",41
1184,extended-stay-america,Extended Stay America, ,"$132,050",4
1185,exterran-holdings,Exterran Holdings,EXTN),"$118,741",2
1186,extra-space-storage,Extra Space Storage,EXR),"$12,379",1
1187,extraction-oil-and-gas,Extraction Oil & Gas,XOG),"$2,406,510",23
1188,extreme-networks-inc,Extreme Networks Inc.,EXTR),"$35,000",1
1189,exx-inc,Exx Inc., ,"$1,106,650",2
1190,exxon-mobil,Exxon Mobil,NYSE: XOM),"$2,212,679,073",423
1191,ezcorp-inc,EZCORP Inc.,EZPW),"$11,100,000",2
1192,fnb-corporation,F.N.B. Corporation,FNB),"$180,720",1
1193,fabrinet,Fabrinet,FN),"$6,430",1
1194,fairbanks-coal,Fairbanks Coal, ,"$398,900",9
1195,fairfax-financial-holdings,Fairfax Financial Holdings,FRFHF),"$4,143,184",34
1196,fairfax-nursing-center,Fairfax Nursing Center, ,"$710,001",1
1197,fairview-health-services,Fairview Health Services, ,"$2,308,283",1
1198,fannie-mae,Fannie Mae, ,"$419,260,000",1
1199,fanuc,Fanuc, ,"$9,000",1
1200,farmer-brothers-co,Farmer Brothers Co.,FARM),"$178,797",2
1201,farmers-insurance-exchange,Farmers Insurance Exchange, ,"$238,862,460",26
1202,faro-technologies,Faro Technologies,FARO),"$1,539,637",2
1203,fastenal,Fastenal,FAST),"$18,594,062",9
1204,faurecia-se,Faurecia SE, ,"$1,473,055",8
1205,fcc-group,FCC Group, ,"$2,400,110",28
1206,fcf-co,FCF Co., ,"$32,261,130",1
1207,federal-realty-investment-trust,Federal Realty Investment Trust,FRT),"$6,000",1
1208,federal-signal,Federal Signal,FSS),"$369,826",2
1209,federated-hermes,Federated Hermes,FHI),"$100,000,000",2
1210,fedex,FedEx,FDX),"$680,505,914",48
1211,feld-entertainment,Feld Entertainment, ,"$7,000",2
1212,fenix-parts,Fenix Parts, ,"$37,120",1
1213,ferguson-plc,Ferguson PLC, ,"$3,172,593",3
1214,ferrari-nv,Ferrari N.V.,RACE),"$6,388,543",2
1215,ferrellgas-partners,Ferrellgas Partners,FGP),"$2,641,282",7
1216,ferrero-group,Ferrero Group, ,"$2,834,835",2
1217,ferro-corp,Ferro Corp.,FOE),"$8,935,878",7
1218,ferroglobe,Ferroglobe,GSM),"$832,632",8
1219,fesco,FESCO, ,"$1,182,830",2
1220,fidelity-investments,Fidelity Investments, ,"$53,318,354",4
1221,fidelity-national-financial,Fidelity National Financial,FNF),"$251,429,707",59
1222,fidelity-national-information-services,Fidelity National Information Services,FIS),"$50,684,179",19
1223,fifth-third-bancorp,Fifth Third Bancorp,FITB),"$141,607,086",9
1224,fillmore-capital-partners,Fillmore Capital Partners, ,"$204,766,964",3
1225,financial-institutions-inc,Financial Institutions Inc.,FISI),"$155,495",1
1226,fincantieri,Fincantieri, ,"$107,426",12
1227,first-american-financial,First American Financial,FAF),"$15,972,851",22
1228,first-bancorp-north-carolina,First Bancorp (North Carolina),FBNC),"$299,000",3
1229,first-bancorp-puerto-rico,First Bancorp (Puerto Rico),FBP),"$8,517,700",2
1230,first-busey-corp,First Busey Corp.,BUSE),"$12,645",2
1231,first-citizens-bancshares,First Citizens BancShares,FCNCA),"$239,694,300",9
1232,first-financial-bancorp,First Financial Bancorp.,FFBC),"$778,309",4
1233,first-horizon-national,First Horizon National,FHN),"$343,520,706",2
1234,first-interstate-bancsystem,First Interstate Bancsystem,FIBK),"$100,110",3
1235,first-merchants-corp,First Merchants Corp.,FRME),"$23,400",1
1236,first-national-of-nebraska,First National of Nebraska, ,"$35,395,000",1
1237,first-republic-bank,First Republic Bank,FRC),"$2,014,838",1
1238,first-solar,First Solar,FSLR),"$9,707,193",2
1239,firstcash,FirstCash,FCFS),"$19,146,418",3
1240,firstenergy,FirstEnergy,FE),"$1,443,779,650",35
1241,firstgroup,FirstGroup,LSE: FGP),"$56,730,962",97
1242,fiserv,Fiserv,FISV),"$40,458,099",2
1243,fisher-industries,Fisher Industries, ,"$2,099,979",1
1244,fiskars-group,Fiskars Group, ,"$2,610,348",2
1245,five-star-mining,Five Star Mining, ,"$2,640,449",219
1246,five-star-senior-living,Five Star Senior Living,FVE),"$3,213,137",7
1247,five9-inc,Five9 Inc.,FIVN),"$2,010,000",1
1248,fj-management,FJ Management, ,"$18,798,064",3
1249,flagstar-bancorp,Flagstar Bancorp,FBC),"$179,415,000",3
1250,fleet-management-ltd,Fleet Management Ltd., ,"$57,400,000",3
1251,fleetcor-technologies,FleetCor Technologies,FLT),"$530,759",1
1252,flex-ltd,Flex Ltd.,FLEX),"$108,215",8
1253,flex-n-gate,Flex-N-Gate, ,"$217,561",14
1254,flexsteel-industries,Flexsteel Industries,FLXS),"$27,491",3
1255,florida-cancer-specialists,Florida Cancer Specialists, ,"$122,354,858",1
1256,flotek-industries,Flotek Industries,FTK),"$10,000",1
1257,flowers-foods,Flowers Foods,FLO),"$40,537,177",11
1258,flowserve,Flowserve,FLS),"$15,601,300",12
1259,fluor,Fluor,NYSE: FLR),"$29,637,087",7
1260,flutter-entertainment-plc,Flutter Entertainment PLC,LSE: FLTR),"$731,000,000",1
1261,fmc-corp,FMC Corp.,FMC),"$4,927,228",1
1262,follett,Follett, ,"$17,596,746",2
1263,fontana-gruppo,Fontana Gruppo, ,"$49,581",2
1264,foot-locker,Foot Locker,FL),"$301,339,279",8
1265,ford-motor,Ford Motor,F),"$546,957,741",27
1266,forman-mills,Forman Mills, ,"$651,630",3
1267,formosa-plastics,Formosa Plastics, ,"$25,717,036",45
1268,fortinet,Fortinet,FTNT),"$545,000",1
1269,fortis,Fortis, ,"$6,833,270",1
1270,fortive,Fortive,FTV),"$677,432",12
1271,fortron-industries,Fortron Industries, ,"$51,785",3
1272,fortune-brands-home-and-security,Fortune Brands Home & Security,FBHS),"$196,649",13
1273,forum-energy-technologies,Forum Energy Technologies,FET),"$61,318",5
1274,forward-air-corp,Forward Air Corp.,FWRD),"$392,270",15
1275,foster-farms,Foster Farms, ,"$2,720,518",4
1276,foundation-building-materials-inc,Foundation Building Materials Inc.,FBM),"$49,876",2
1277,fox-corporation,Fox Corporation,FOX),"$31,000,000",3
1278,foxconn-technology-group-hon-hai-precisi,Foxconn Technology Group (Hon Hai Precision Industry Company), ,"$284,712,313",3
1279,franciscan-health,Franciscan Health, ,"$4,958,629",2
1280,franciscan-missionaries-of-our-lady-heal,Franciscan Missionaries of Our Lady Health Systems, ,"$130,800,000",1
1281,francisco-partners,Francisco Partners, ,"$39,205",2
1282,franklin-electric,Franklin Electric,FELE),"$41,727",3
1283,franklin-resources,Franklin Resources,BEN),"$245,213,719",12
1284,freds-inc,Fred's Inc., ,"$122,750",3
1285,freddie-mac-federal-home-loan-mortgage-c,Freddie Mac (Federal Home Loan Mortgage Corporation), ,"$62,079,955",1
1286,freedman-farms,Freedman Farms, ,"$1,500,000",1
