,name,ticker,year,penalty
132,3M Company,MMM),2003,"5,000"
133,3M Company,MMM),2016,"5,000"
134,3M Company,MMM),2006,"5,000"
135,3M Company,MMM),2010,"5,000"
136,3M Company,MMM),2018,"5,000"
137,3M Company,MMM),2000,"5,000"
138,3M Company,MMM),2000,"5,000"
139,7 Day Furniture, ,2011,"5,880"
140,7 Day Furniture, ,2013,"5,722"
141,7 Day Furniture, ,2019,"5,500"
142,84 Lumber, ,2011,"26,172"
143,84 Lumber, ,2017,"25,395"
144,84 Lumber, ,2011,"22,843"
145,84 Lumber, ,2015,"21,000"
146,84 Lumber, ,2016,"19,600"
147,84 Lumber, ,2004,"15,500"
148,84 Lumber, ,2021,"14,629"
149,84 Lumber, ,2003,"14,000"
150,84 Lumber, ,2015,"14,000"
151,84 Lumber, ,2015,"13,750"
152,84 Lumber, ,2019,"13,494"
153,84 Lumber, ,2018,"12,600"
154,84 Lumber, ,2016,"11,000"
155,84 Lumber, ,2009,"10,000"
156,84 Lumber, ,2013,"10,000"
157,84 Lumber, ,2018,"10,000"
158,84 Lumber, ,2019,"10,000"
159,84 Lumber, ,2011,"7,736"
160,84 Lumber, ,2004,"7,500"
161,84 Lumber, ,2014,"7,000"
162,84 Lumber, ,2016,"7,000"
163,84 Lumber, ,2021,"7,000"
164,84 Lumber, ,2005,"6,875"
165,84 Lumber, ,2019,"6,750"
166,84 Lumber, ,2015,"6,525"
167,84 Lumber, ,2004,"6,400"
168,84 Lumber, ,2009,"6,299"
169,84 Lumber, ,2009,"6,200"
170,84 Lumber, ,2007,"6,000"
171,84 Lumber, ,2018,"5,543"
172,84 Lumber, ,2000,"5,500"
173,84 Lumber, ,2011,"5,460"
174,84 Lumber, ,2012,"5,400"
175,84 Lumber, ,2015,"5,370"
176,84 Lumber, ,2010,"5,300"
177,84 Lumber, ,2002,"5,000"
178,84 Lumber, ,2002,"5,000"
179,84 Lumber, ,2004,"5,000"
180,A.M. Castle & Co.,CTAM),2011,"775,000"
181,A.M. Castle & Co.,CTAM),2011,"63,500"
182,A.M. Castle & Co.,CTAM),2014,"33,000"
183,A.M. Castle & Co.,CTAM),2007,"20,000"
184,A.M. Castle & Co.,CTAM),2014,"17,400"
185,A.M. Castle & Co.,CTAM),2004,"11,250"
186,A.M. Castle & Co.,CTAM),2012,"8,400"
187,A.M. Castle & Co.,CTAM),2006,"6,615"
188,A.M. Castle & Co.,CTAM),2006,"5,952"
189,A.M. Castle & Co.,CTAM),2019,"5,355"
190,A.M. Castle & Co.,CTAM),2008,"5,000"
191,A.O. Smith Corp.,AOS),2000,"15,000"
192,A.O. Smith Corp.,AOS),2018,"10,565"
193,A.O. Smith Corp.,AOS),2010,"10,000"
194,A.O. Smith Corp.,AOS),2003,"10,000"
195,A.O. Smith Corp.,AOS),2018,"7,396"
196,A.O. Smith Corp.,AOS),2007,"7,000"
197,A.O. Smith Corp.,AOS),2007,"7,000"
198,A.O. Smith Corp.,AOS),2010,"6,000"
199,A.O. Smith Corp.,AOS),2010,"6,000"
200,AA Rite-Way Roofing, ,2015,"25,000"
201,AA Rite-Way Roofing, ,2015,"14,840"
202,AA Rite-Way Roofing, ,2016,"10,000"
203,AA Rite-Way Roofing, ,2017,"7,500"
204,AAC Holdings,AACH),2012,"35,071"
205,AAC Holdings,AACH),2012,"34,692"
206,AAC Holdings,AACH),2012,"9,448"
